EfficientNet-B0 SLAM (RGB+Depth) Execution Log
Frame 0, Loss: 1.5884, Frame Time: 0.1635s, Running Time: 0.18s, Avg Frame Time: 0.1635s
Frame 10, Loss: 0.0029, Frame Time: 0.1157s, Running Time: 1.49s, Avg Frame Time: 0.1155s
Frame 20, Loss: 0.0003, Frame Time: 0.1189s, Running Time: 2.79s, Avg Frame Time: 0.1146s
Frame 30, Loss: 0.0016, Frame Time: 0.1010s, Running Time: 4.01s, Avg Frame Time: 0.1074s
Frame 40, Loss: 0.0115, Frame Time: 0.1046s, Running Time: 5.25s, Avg Frame Time: 0.1083s
Frame 50, Loss: 0.0030, Frame Time: 0.1009s, Running Time: 6.62s, Avg Frame Time: 0.1207s
Frame 60, Loss: 0.0037, Frame Time: 0.1266s, Running Time: 7.92s, Avg Frame Time: 0.1135s
Frame 70, Loss: 0.0080, Frame Time: 0.1287s, Running Time: 9.33s, Avg Frame Time: 0.1236s
Frame 80, Loss: 0.0044, Frame Time: 0.1203s, Running Time: 10.79s, Avg Frame Time: 0.1283s
Frame 90, Loss: 0.0035, Frame Time: 0.1254s, Running Time: 12.33s, Avg Frame Time: 0.1350s
Frame 100, Loss: 0.0235, Frame Time: 0.1292s, Running Time: 13.98s, Avg Frame Time: 0.1455s
Frame 110, Loss: 0.0100, Frame Time: 0.1405s, Running Time: 15.65s, Avg Frame Time: 0.1467s
Frame 120, Loss: 0.0013, Frame Time: 0.1290s, Running Time: 17.89s, Avg Frame Time: 0.2001s
Frame 130, Loss: 0.0039, Frame Time: 0.1189s, Running Time: 19.52s, Avg Frame Time: 0.1419s
Frame 140, Loss: 0.0007, Frame Time: 0.1309s, Running Time: 21.03s, Avg Frame Time: 0.1307s
Frame 150, Loss: 0.0009, Frame Time: 0.1263s, Running Time: 22.54s, Avg Frame Time: 0.1312s
Frame 160, Loss: 0.0004, Frame Time: 0.1311s, Running Time: 24.05s, Avg Frame Time: 0.1309s
