RGB-Only SLAM Execution Log
Frame 0, Loss: 1.5422, Frame Time: 0.2387s, Running Time: 0.26s, Avg Frame Time: 0.2387s
Frame 10, Loss: 0.0026, Frame Time: 0.1768s, Running Time: 2.30s, Avg Frame Time: 0.1861s
Frame 20, Loss: 0.0059, Frame Time: 0.1708s, Running Time: 4.23s, Avg Frame Time: 0.1748s
Frame 30, Loss: 0.0181, Frame Time: 0.1639s, Running Time: 6.37s, Avg Frame Time: 0.1957s
Frame 40, Loss: 0.0006, Frame Time: 0.2346s, Running Time: 8.53s, Avg Frame Time: 0.1976s
Frame 50, Loss: 0.0017, Frame Time: 0.2058s, Running Time: 10.78s, Avg Frame Time: 0.2071s
Frame 60, Loss: 0.0014, Frame Time: 0.1681s, Running Time: 13.05s, Avg Frame Time: 0.2082s
Frame 70, Loss: 0.0166, Frame Time: 0.1969s, Running Time: 15.07s, Avg Frame Time: 0.1838s
Frame 80, Loss: 0.0105, Frame Time: 0.1943s, Running Time: 17.06s, Avg Frame Time: 0.1810s
Frame 90, Loss: 0.0021, Frame Time: 0.1957s, Running Time: 19.09s, Avg Frame Time: 0.1845s
Frame 100, Loss: 0.0026, Frame Time: 0.1665s, Running Time: 21.07s, Avg Frame Time: 0.1793s
Frame 110, Loss: 0.0015, Frame Time: 0.1832s, Running Time: 23.14s, Avg Frame Time: 0.1885s
Frame 120, Loss: 0.0009, Frame Time: 0.2122s, Running Time: 25.40s, Avg Frame Time: 0.2083s
Frame 130, Loss: 0.0025, Frame Time: 0.1827s, Running Time: 27.76s, Avg Frame Time: 0.2154s
Frame 140, Loss: 0.0011, Frame Time: 0.2061s, Running Time: 29.87s, Avg Frame Time: 0.1921s
Frame 150, Loss: 0.0053, Frame Time: 0.1732s, Running Time: 31.77s, Avg Frame Time: 0.1731s
Frame 160, Loss: 0.0005, Frame Time: 0.1505s, Running Time: 33.74s, Avg Frame Time: 0.1782s
Frame 170, Loss: 0.0257, Frame Time: 0.1962s, Running Time: 35.82s, Avg Frame Time: 0.1894s
Frame 180, Loss: 0.0128, Frame Time: 0.1636s, Running Time: 37.71s, Avg Frame Time: 0.1724s
Frame 190, Loss: 0.0043, Frame Time: 0.1557s, Running Time: 39.56s, Avg Frame Time: 0.1686s
Frame 200, Loss: 0.0002, Frame Time: 0.2027s, Running Time: 41.52s, Avg Frame Time: 0.1778s
Frame 210, Loss: 0.0035, Frame Time: 0.1807s, Running Time: 43.61s, Avg Frame Time: 0.1900s
Frame 220, Loss: 0.0031, Frame Time: 0.1727s, Running Time: 45.52s, Avg Frame Time: 0.1751s
Frame 230, Loss: 0.0029, Frame Time: 0.1589s, Running Time: 47.50s, Avg Frame Time: 0.1799s
Frame 240, Loss: 0.0017, Frame Time: 0.1732s, Running Time: 49.40s, Avg Frame Time: 0.1731s
Frame 250, Loss: 0.0015, Frame Time: 0.2090s, Running Time: 51.37s, Avg Frame Time: 0.1787s
Frame 260, Loss: 0.0008, Frame Time: 0.1990s, Running Time: 53.22s, Avg Frame Time: 0.1689s
Frame 270, Loss: 0.0035, Frame Time: 0.1702s, Running Time: 55.18s, Avg Frame Time: 0.1788s
Frame 280, Loss: 0.0064, Frame Time: 0.1605s, Running Time: 56.98s, Avg Frame Time: 0.1631s
Frame 290, Loss: 0.0010, Frame Time: 0.1960s, Running Time: 58.91s, Avg Frame Time: 0.1757s
