EfficientNet-B0 SLAM (RGB+Depth) Execution Log
Frame 0, Loss: 1.4613, Frame Time: 0.4185s, Running Time: 0.47s, Avg Frame Time: 0.4185s
Frame 10, Loss: 0.0107, Frame Time: 0.2229s, Running Time: 3.77s, Avg Frame Time: 0.2913s
Frame 20, Loss: 0.0005, Frame Time: 0.3764s, Running Time: 8.31s, Avg Frame Time: 0.4096s
Frame 30, Loss: 0.0068, Frame Time: 0.2680s, Running Time: 11.67s, Avg Frame Time: 0.2980s
Frame 40, Loss: 0.0081, Frame Time: 0.3369s, Running Time: 14.90s, Avg Frame Time: 0.2838s
Frame 50, Loss: 0.0046, Frame Time: 0.2668s, Running Time: 18.48s, Avg Frame Time: 0.3150s
Frame 60, Loss: 0.0076, Frame Time: 0.2235s, Running Time: 21.55s, Avg Frame Time: 0.2651s
Frame 70, Loss: 0.0043, Frame Time: 0.2530s, Running Time: 24.42s, Avg Frame Time: 0.2533s
Frame 80, Loss: 0.0018, Frame Time: 0.2291s, Running Time: 27.19s, Avg Frame Time: 0.2418s
Frame 90, Loss: 0.0113, Frame Time: 0.2494s, Running Time: 29.92s, Avg Frame Time: 0.2360s
Frame 100, Loss: 0.0054, Frame Time: 0.2179s, Running Time: 32.95s, Avg Frame Time: 0.2687s
Frame 110, Loss: 0.0015, Frame Time: 0.2321s, Running Time: 35.60s, Avg Frame Time: 0.2317s
Frame 120, Loss: 0.0057, Frame Time: 0.2675s, Running Time: 38.53s, Avg Frame Time: 0.2545s
Frame 130, Loss: 0.0031, Frame Time: 0.2855s, Running Time: 41.56s, Avg Frame Time: 0.2664s
Frame 140, Loss: 0.0002, Frame Time: 0.2436s, Running Time: 44.62s, Avg Frame Time: 0.2689s
Frame 150, Loss: 0.0062, Frame Time: 0.4427s, Running Time: 48.96s, Avg Frame Time: 0.3897s
Frame 160, Loss: 0.0068, Frame Time: 0.6267s, Running Time: 54.28s, Avg Frame Time: 0.4847s
Frame 170, Loss: 0.0039, Frame Time: 0.4079s, Running Time: 60.66s, Avg Frame Time: 0.5848s
Frame 180, Loss: 0.0020, Frame Time: 0.2348s, Running Time: 64.14s, Avg Frame Time: 0.3091s
Frame 190, Loss: 0.0018, Frame Time: 0.2388s, Running Time: 67.92s, Avg Frame Time: 0.3370s
Frame 200, Loss: 0.0016, Frame Time: 0.4701s, Running Time: 71.82s, Avg Frame Time: 0.3518s
Frame 210, Loss: 0.0108, Frame Time: 0.2995s, Running Time: 75.19s, Avg Frame Time: 0.2985s
Frame 220, Loss: 0.0018, Frame Time: 0.2951s, Running Time: 78.24s, Avg Frame Time: 0.2696s
Frame 230, Loss: 0.0024, Frame Time: 0.2586s, Running Time: 81.26s, Avg Frame Time: 0.2640s
Frame 240, Loss: 0.0008, Frame Time: 0.2443s, Running Time: 83.99s, Avg Frame Time: 0.2393s
Frame 250, Loss: 0.0037, Frame Time: 0.4511s, Running Time: 89.46s, Avg Frame Time: 0.5023s
Frame 260, Loss: 0.0006, Frame Time: 0.6630s, Running Time: 95.17s, Avg Frame Time: 0.5258s
